Sr No,Sellers ID,Seller Name,Seller Level,Seller class,Seller team member name,Seller team member number,Bill Date,Bill Time,Bill No.,Transaction Type,Invoice type,Buyer ID,Buyer Name,Buyer Level,Buyer Class,Buyer Location,Buyer Team member name,Buyer Team member number,Category,Product,SKU,Brand,Unit Cost,Qty,Discount,Value,
22,132,Torque Traders,Silver,L2,Linda Garland,8984226444,10/18/2019,14:47:55,abc022de,Sales(60)%,Attached,B022,Westside Surgery,B1,A,Jaipur,Christene Clarence,9582566381,C5,P2C5,ZFPSR667,Fastrack,29715,3,8,82013.4,
23,133,Max Stores,Silver,L2,Marceline Luna,9251494184,01/16/2019,11:07:37,abc023de,Sales(60)%,Attached,B023,Ramesh Kumar,B1,A,Ajmer,Jacqueline Dunn,9510423899,C5,P3C5,ZVPSR668,Velocity,122669,2,5,233071.1,
24,134,Vishnu Sales,Silver,L2,Erika Gibson,9037170623,01/31/2019,18:51:46,abc024de,Sales(60)%,Attached,B024,Salman Agarwal,B1,A,Faridabad,Deanne Spence,9562439800,C5,P4C5,ZVPSR669,Velocity,208050,7,12,1281588,
25,135,Vermani,Silver,L2,Patrick Pearman,9339778558,01/17/2019,17:45:50,abc025de,Sales(60)%,Attached,B025,Vinol Naik,B1,A,Gaziabad,Berta Davenport,9517217069,C5,P5C5,ZHBSR674,Hidesign,250382,2,3,485741.08,
26,136,Vertiqo,Gold,L2,Kimberly Grogan,8978339045,01/08/2019,18:22:53,abc026de,Sales(60)%,Attached,B026,Rahul Verma,B2,A,Dhanbad,Estela Walton,9577167398,C6,P1C6,ZFBSR675,Fastrack,159675,21,1,3319643.25,
27,137,Vahari Sales,Platinum,L3,Vicky Roseman,8964265577,03/07/2019,11:37:44,abc027de,Sales(60)%,Attached,B027,Anup Kumar,B2,A,Bangalore,Robert Tant,9561320159,C6,P2C6,ZFBSR676,Fastrack,80011,18,12,1267374.24,
28,138,Varsha infotech,Silver,L3,Donna Fisher,9267014734,05/27/2019,17:49:38,abc028de,Sales(75%),Attached,B028,Royal Derby Hospitals,B2,A,Amritsar,Kenneth Castillo,9532345978,C6,P3C6,ZVBSR679,Velocity,25404,21,14,458796.24,
29,139,Zoom Star,Gold,L3,Morgan Cline,9457937000,12/06/2019,13:44:56,abc029de,Sales(75%),Attached,B029,Roger Dsouza,B2,A,Kolkata,Sara Thrash,9563515813,C6,P4C6,ZVNSR693,Velocity,176829,24,2,4159018.08,
30,140,Ransh,Silver,L3,Paula Chatman,9240165176,06/16/2019,17:20:45,abc030de,Sales(75%),Attached,B030,EASTERN PROCUREMENT LIMITED,B2,A,Indore,Joyce Joyner,9572410194,C6,P5C6,ZHNSR694,Hidesign,81165,17,2,1352208.9,
31,141,Riya Products,Gold,L3,David Newell,9441252424,08/14/2019,10:48:38,abc031de,Sales(75%),Attached,B031,THE ANNA FREUD CENTRE,B2,A,Bhopal,James Leary,9589768628,C7,P1C7,EDLGR778,Dell,294782,12,9,3219019.44,
32,142,Neo Engineers,Silver,L3,Robert Shea,9085224085,01/01/2019,17:09:12,abc032de,Sales(75%),Attached,B032,Intelligent Health,B2,A,Prayagraj,Jayson Adams,9529819403,C7,P2C7,EDLBK779,Dell,129786,13,9,1535368.38,
33,143,Navdeep Electronics,Silver,L3,Ina Boren,9074130714,07/10/2019,16:10:24,abc033de,Sales(75%),Attached,B033,THE HIGHER EDUCATION ACADEMY,B2,A,Ranchi,Branden Schmidt,9527309487,C7,P3C7,EHLBL780,HP,166904,13,1,2148054.48,
34,144,Koyet,Gold,L3,Jack Stoltzfus,9119871098,06/06/2019,10:36:57,abc034de,Sales(75%),Attached,B034,Dr M K Kamdar & Partner,B2,A,Lucknow,James Marak,9590511261,C7,P4C7,EHLBGR781,HP,299653,15,1,4449847.05,
35,145,Khatu Traders,Silver,L3,Alfred Gibbs,9441824705,12/27/2019,15:28:08,abc035de,Sales(75%),Attached,B035,UK BIOCENTRE LIMITED,B2,A,Shimla,Michael Duncan,9541589873,C7,P5C7,EALRD782,Acer,168880,10,9,1536808,
36,146,Khanna Electronics,Silver,L3,Candice Alexander,9020614631,06/13/2019,16:51:54,abc036de,Sales(40%),Attached,B036,Rohit Verma,B2,A,Goa,Marie Wehner,9524209548,C8,P1C8,GPBBL876,Philips,86043,9,4,743411.52,
37,147,Krupa Sales,Platinum,L3,John Dillingham,9113847568,05/01/2019,18:21:46,abc037de,Sales(40%),Attached,B037,BERNICIA GROUP LIMITED,B2,A,Ernakulam,John Berry,9515095975,C8,P2C8,GPBBK877,Philips,208670,10,15,1773695,
38,148,Karuna Enterprise,Gold,L3,Scott Daniels,9208951578,05/05/2019,10:53:39,abc038de,Sales(40%),Attached,B038,Capita Symonds,B2,A,Pune,Deborah Ballard,9552429849,C8,P3C8,GPLBL878,Philips,110929,17,7,1753787.49,
39,149,Mayank Enterprises,Silver,L3,Cynthia Johnson,9306562427,12/19/2019,14:15:26,abc039de,Sales(40%),Attached,B039,Shepherds Bush Housing Association Ltd,B2,C,Nasik,Dina Jenkins,9522139132,C8,P4C8,GHLBL879,Havels,85344,7,15,507796.8,
40,150,Madhav Sales,Platinum,L3,Ray Brown,9360654498,02/23/2019,12:22:10,abc040de,Sales(48%),Attached,B040,Sachin Chaubey,B2,C,Nagpur,Sandra Archibald,9553412593,C8,P5C8,GHLRD881,Havels,86519,5,5,410965.25,
41,151,Moovee Traders,Silver,L3,Fred Ballard,9379515907,01/28/2019,16:58:54,abc041de,Sales(40%),Attached,B041,Northern Housing Consortium,B2,C,Trichy,Lloyd Kneeland,9564062056,C9,P1C9,GHTRD882,Havels,115566,6,11,617122.44,
42,152,Moraya Sales,Silver,L3,Jerry Cornell,9422759352,04/16/2019,14:51:42,abc042de,Sales(44%),Attached,B042,Queen Elizabeth'S Hospital,B2,C,Mumbai,Francis Oconnell,9519129645,C9,P2C9,GHTBL883,Havels,10660,11,5,111397,
43,153,Alpine-Industries,Platinum,L3,Ronnie Taylor,8917606460,10/02/2019,14:22:57,abc043de,Sales(43%),Attached,B043,SEVEN LOCKS HOUSING LIMITED,B2,C,Delhi,Steven Smith,9553043235,C9,P3C9,GSBBL884,Syska,148572,16,10,2139436.8,
44,154,Aaftab Hardware,Silver,L3,John Crawford,9270581279,11/05/2019,12:40:09,abc044de,Sales(45%),Attached,B044,Rahul Kanwal,B2,C,Chennai,Patricia Taylor,9574245178,C9,P4C9,GSBYW885,Syska,71914,10,10,647226,
45,155,Aqua Enterprises,Gold,L3,Jessica Evans,9006053793,09/03/2019,16:33:32,abc045de,Sales(80%),Attached,B045,Shekar Gupta,B2,C,Goa,Una Peterson,9539665224,C9,P5C9,GSBBL886,Syska,192459,25,15,4089753.75,
46,156,Nemi Group,Silver,L3,Brian Golden,9225280831,10/26/2019,17:14:21,abc046de,Sales(80%),Attached,B046,In Safe Hands Health & Safety Training & Consultancy,B2,C,Varanasi,Donna Pigford,9557652344,C10,P1C10,XPCBL001,Pedigree,110511,5,7,513876.15,
47,157,Nirva Enterprises,Gold,L3,Fred Estrada,9213759960,10/17/2019,10:39:38,abc047de,Sales(80%),Attached,B047,CARILLION (AMBS) LIMITED,B2,C,Mangalore,Bertha Wriedt,9576134452,C10,P2C10,XPCBL002,Pedigree,200516,16,15,2727017.6,
48,158,Nini Electricals,Silver,L3,Donna Goldstein,9404363766,04/22/2019,9:49:44,abc048de,Sales(80%),Attached,B048,MI CONCEPTS LIMITED,B2,C,Bangalore,Jose Morris,9551978847,C10,P3C10,XWBBR00,Wiskas,233841,10,10,2104569,
49,159,Nisha Enterprises,Platinum,L3,Lawrence Jones,9301698232,12/20/2019,15:01:06,abc049de,Sales(85%),Attached,B049,Sohail Khan,B2,C,Amritsar,Consuelo May,9525655046,C10,P4C10,XWBYW004,Wiskas,234621,21,3,4779229.77,
50,160,Cloudtail,Platinum,L3,Joyce Berg,8966329578,10/18/2019,16:59:33,abc050de,Sales(86%),Attached,B050,Satish Chawla,B2,C,Kolkata,Charles Chiodo,9505474928,C10,P5C10,XPCBL005,Pedigree,31891,10,10,287019,
51,161,Olympia Industries,Silver,L1,Jocelyn Quillen,9346548874,06/22/2019,9:35:12,abc051de,Sales(80%),Attached,B051,Scottish Prison Service,B3,C,Indore,Kay Metcalf,9534861746,C11,P1C11,XPPBK009,Pedigree,12282,4,8,45197.76,
52,162,Amazing Buy,Silver,L1,Elizabeth Wolery,9058170413,07/06/2019,14:25:45,abc052de,Sales(48%),Attached,B052,Vinod Shetty,B3,C,Bhopal,Richard Boothe,9509818198,C11,P2C11,XWPBK010,Wiskas,152851,11,1,1664547.39,
53,163,Zephyr Online,Silver,L1,Stanley Griffin,9043894941,08/13/2019,10:01:39,abc053de,Sales(48%),Attached,B053,Macclesfield College,B3,C,Prayagraj,Robert Guthrie,9582458824,C11,P3C11,XWCBL011,Wiskas,143471,22,13,2746034.94,
54,164,Super Deals,Gold,L1,Kerry Tellefson,9264708639,12/30/2019,15:23:31,abc054de,Sales(48%),Attached,B054,Amrita Rao,B3,C,Hydrebad,Leoma Melle,9576191426,C11,P4C11,XWCRD012,Wiskas,200556,13,11,2320432.92,
55,165,Trico Online,Platinum,L1,Micheal Easley,9415251143,01/16/2019,9:25:36,abc055de,Sales(80%),Attached,B055,Cleveland Police Headquarters,B3,C,Ranchi,Edward Manly,9525252446,C11,P5C11,XPBBL013,Pedigree,214511,20,8,3947002.4,
56,166,Infiniti Retail,Platinum,L1,Lora Libby,9135680568,10/11/2019,14:01:47,abc056de,Sales(80%),Attached,B056,Sneha Singh,B3,C,Lucknow,Marisol Roberts,9572927635,C12,P1C12,VSPBL051,Skybags,230986,19,8,4037635.28,
57,167,XL Retail,Platinum,L1,Frances Cannon,9460471016,05/17/2019,10:06:01,abc057de,Sales(82%),Created,B057,Roger Binny,B3,C,Shimla,Suzanne Jensen,9560979702,C12,P2C12,VSPBK052,Skybags,196705,12,14,2029995.6,
58,168,Saholic,Gold,L1,Roberto Sigman,9492794207,12/04/2019,17:18:47,abc058de,Sales(83%),Created,B058,St George's University Of London,B3,C,Goa,Michael Beltran,9558106451,C12,P3C12,VSSBK053,Skybags,173250,20,13,3014550,
59,117,saandrons solutions,Gold,L1,Maria Reynolds,9162696963,05/20/2019,10:29:45,abc059de,Sales(80%),Created,B059,Staffordshire Police,B3,D,Ernakulam,William Witherite,9509306578,C12,P4C12,VWSRD054,Wild Horn,35550,17,3,586219.5,
60,118,ShopTwiz,Platinum,L1,Teresa Nolasco,8911569820,03/17/2019,13:16:37,abc060de,Sales(80%),Created,B060,Marketing NG Limited,B3,D,Pune,Steve Montes,9564878140,C12,P5C12,VWSYW055,Wild Horn,64079,21,15,1143810.15,
61,119,ShoppKing,Gold,L1,Osvaldo Williams,9407989630,09/15/2019,12:22:16,abc061de,Sales(81%),Created,B061,North Star Housing Group,B3,D,Nasik,Robert Lewis,9557153644,C13,P1C13,VWBYW056,Wild Horn,9927,3,11,26505.09,
62,120,ShopyStore,Silver,L1,Rosie Kraemer,9448330608,11/09/2019,16:03:01,abc062de,Sales(80%),Created,B062,Nitte Education Trust,B3,D,Nagpur,Michael Goodwin,9580276482,C13,P2C13,VLBBK057,Lorem,121766,21,6,2403660.84,
63,121,Showoff,Platinum,L1,Angel Abbadessa,8988837832,07/30/2019,11:36:14,abc063de,Sales(55%),Created,B063,Venkatesh K,B3,D,Mumbai,Linda Gill,9530294951,C13,P3C13,VLRBK058,Lorem,272884,6,3,1588184.88,
64,122,Siddhi Enterprises,Silver,L1,Karen Mcadams,9264927123,03/15/2019,9:09:28,abc064de,Sales(80%),Created,B064,L&T,B3,D,Delhi,Tanya Guzman,9528706663,C13,P4C13,VLRBL059,Lorem,60207,7,4,404591.04,
65,123,Sky Collab,Silver,L2,Charles Swiger,9084269349,09/16/2019,11:49:18,abc065de,Sales(89%),Created,B065,Cornwall Housing Limited,B3,D,Chennai,Elvira Giese,9528422213,C13,P5C13,VWRBK061,Wild Horn,214244,10,11,1906771.6,
66,124,Skylint,Gold,L2,Clemmie Joyce,9334312210,01/07/2019,13:16:02,abc066de,Sales(80%),Created,B066,Halton Housing Trust,B3,D,Goa,William Guthrie,9581071235,C14,P1C14,KPSSR112,Prestige,184736,22,3,3942266.24,
67,125,Synbus,Gold,L2,Marjorie Wilson,9221544131,06/07/2019,18:09:13,abc067de,Sales(80%),Created,B067,Orbit Group Limited,B3,D,Varanasi,Shirley Lynn,9505722315,C14,P2C14,KPSSR113,Tuelip,107723,23,5,2353747.55,
68,126,Spenca,Silver,L2,Terry Bartlett,9203445696,02/02/2019,14:26:57,abc068de,Sales(80%),Created,B068,PRIESTLEY COLLEGE,B3,D,Mangalore,Corrine Landeros,9547512919,C14,P3C14,KPDSR114,Prestige,99445,14,4,1336540.8,
69,127,Spoilx,Gold,L2,Grady Bouyer,8995008342,12/26/2019,17:44:12,abc069de,Sales(80%),Created,B069,Yarlingon Housing Group,B3,D,Amravati,Doris Basinger,9555214544,C14,P4C14,KTDSR115,Tuelip,148370,3,4,427305.6,
70,128,Walkplus,Silver,L2,Sonia Pepe,9451609932,12/13/2019,15:28:21,abc070de,Sales(80%),Created,B070,Apeksha Khurrana,B3,D,Bangalore,Anthony Thomas,9571397966,C14,P5C14,KTTSR116,Tuelip,178126,22,9,3566082.52,
71,129,Icon Store,Gold,L2,Paul Weeks,9380888584,10/27/2019,9:49:46,abc071de,Sales(80%),Created,B071,Indigo Ltd,B3,D,Amritsar,Kenneth Peterson,9597717786,C15,P1C15,KCTSR117,Cello,270967,22,3,5782435.78,
72,130,SR Global,Silver,L2,Janis Brieno,8949403973,01/13/2019,14:51:08,abc072de,Sales(80%),Created,B072,Vistara Ltd,B3,D,Kolkata,Christopher Rhoden,9522103392,C15,P2C15,KCKSR118,Cello,33326,9,1,296934.66,
73,131,Sunrise Digital,Gold,L2,Sarah Claussen,8934552127,09/24/2019,18:56:36,abc073de,Sales(54%),Created,B073,Spice Jet Ltd,B3,D,Indore,William Schultz,9575259341,C15,P3C15,KCKSR119,Cello,298593,23,5,6524257.05,
74,132,Torque Traders,Silver,L2,Gay Kennard,9373324558,03/08/2019,18:48:16,abc074de,Sales(80%),Created,B074,Go Air Ltd,B3,D,Bhopal,Alba Marquez,9527746707,C15,P4C15,KPKSR120,Prestige,206699,8,15,1405553.2,
75,133,Max Stores,Silver,L2,Evelyn Gully,9082021801,05/23/2019,18:00:09,abc075de,Sales(80%),Created,B075,Singapore Airlines Ltd,B3,D,Prayagraj,Nicole Willner,9553278144,C15,P5C15,KPPSR121,Prestige,201189,6,2,1182991.32,
76,134,Vishnu Sales,Silver,L2,Rose Ferguson,9175631503,11/12/2019,17:47:50,abc076de,Sales(60%),Created,B076,Naveen Naik,B4,D,Bangalore,Phillip Gibson,9576755676,C16,P1C16,WTMGR181,Timex,161919,13,15,1789204.95,
77,135,Vermani,Silver,L2,Rosa Hebrank,9229052336,03/14/2019,10:42:50,abc077de,Sales(80%),Created,B077,Yash Sharma,B4,D,Mumbai,Jeremiah Field,9499909976,C16,P2C16,WTMBL182,Timex,38986,16,2,611300.48,
78,161,Olympia Industries,Silver,L1,Fatima Finnell,8918745638,10/03/2019,18:45:10,abc078de,Sales(80%),Created,B078,Sumit Yadav,B4,D,Delhi,Paul Chrostowski,9561940825,C16,P3C16,WRLBL183,Rolex,67535,24,2,1588423.2,
79,162,Amazing Buy,Silver,L1,Judith Brown,9014977115,04/03/2019,9:36:23,abc079de,Sales(70%),Created,B079,Laxmi Kumar,B4,D,Chennai,Josefina Tate,9511169159,C16,P4C16,WRLGR184,Rolex,188603,4,14,648794.32,
80,163,Zephyr Online,Silver,L1,Betty Wisniewski,9081582473,05/11/2019,11:02:02,abc080de,Sales(81%),Created,B080,NEWLON HOUSING TRUST,B4,A,Goa,Joseph Harvey,9509535670,C16,P5C16,WTMRD185,Timex,64685,12,2,760695.6,
81,164,Super Deals,Gold,L1,Sarah Cheung,9139289644,03/17/2019,14:49:57,abc081de,Sales(35%),Created,B081,Gmmco Ltd,B4,A,Varanasi,Joann Vick,9569196638,C17,P1C17,FNSYL344,Nike,214241,9,9,1754633.79,
82,165,Trico Online,Platinum,L1,Jeffery Neff,9184216103,10/01/2019,12:09:16,abc082de,Sales(52%),Created,B082,Wilfred Bansal,B4,A,Mangalore,Woodrow Shinn,9585929206,C17,P2C17,FNSBL345,Nike,214179,16,3,3324058.08,
83,166,Infiniti Retail,Platinum,L1,Robert Rodriguez,9205804640,05/14/2019,17:49:50,abc083de,Sales(47%),Created,B083,Derwentside Homes Ltd,B4,A,Delhi,Raymond West,9556028140,C17,P3C17,FNBGR346,Nike,9801,12,13,102322.44,
84,167,XL Retail,Platinum,L1,Robert Sadan,9219964047,12/11/2019,9:48:01,abc084de,Sales(48%),Created,B084,Mohit Consultancy,B4,A,Kolkata,Pamela Cooley,9539938989,C17,P4C17,FNBBK347,Nike,171517,18,9,2809448.46,
85,168,Saholic,Gold,L1,Virginia Keith,9408404228,12/24/2019,13:32:31,abc085de,Sales(46%),Created,B085,West Suffolk College,B4,A,Panvel,Mary Thompson,9591668778,C17,P5C17,FBBYL348,Bata,109909,20,10,1978362,
86,169,GadgetDirect,Gold,L1,Jane Larsen,9243230677,10/05/2019,17:53:47,abc086de,Sales(75%),Created,B086,South Cheshire College,B4,A,Bangalore,Joseph Lopez,9533187764,C34,P1C34,ATCBL179,Toyota,254462,21,6,5023079.88,
87,170,GoTo Mart,Silver,L1,Joshua Lowe,9132620402,03/18/2019,10:15:00,abc087de,Sales(78%),Created,B087,AHR Consultancy,B4,B,Amritsar,Marge Hubbard,9517408502,C34,P2C34,AACBK069,Audi,119887,3,11,320098.29,
88,171,TechFone,Silver,L1,Russell Whiteman,9234938725,03/27/2019,15:17:35,abc088de,Sales(91%),Created,B088,BIRMINGHAM CITY UNIVERSITY,B4,B,Kolkata,Maurice Williams,9504492499,C34,P3C34,AJSRD213,Jaguar,76384,22,15,1428380.8,
89,172,Active_Gadgets,Silver,L1,Nicholas Irish,9377056825,01/21/2019,15:41:16,abc089de,Sales(77%),Created,B089,Nisha Tendulkar,B4,B,Indore,Lewis Lester,9578065917,C34,P4C34,ALCYL999,Lamborghini,132737,18,12,2102554.08,
90,173,Tecki-Home,Gold,L1,Estela Pelland,9231956364,08/29/2019,15:49:30,abc090de,Sales(68%),Created,B090,Dr M K Kamdar & Partner,B4,B,Bhopal,Kent Smith,9558548962,C34,P5C34,APCOR123,Porche,197190,13,2,2512200.6,
91,174,Silcare,Gold,L1,Terry Vargo,9036172707,01/24/2019,9:46:08,abc091de,Sales(52%),Created,B091,PASSIVSYSTEMS LIMITED,B4,B,Prayagraj,Mabel Grow,9538592573,C35,P1C35,EMEBK021,Mi,194315,5,4,932712,
92,175,Ezeekart Retail,Platinum,L1,Romeo Hibbard,9399210733,11/05/2019,11:04:01,abc092de,Sales(54%),Created,B092,Manipal Education Trust,B4,B,Chennai,Diana Stone,9535475331,C35,P2C35,EHLGR952,HP,277607,12,7,3098094.12,
93,176,Redlily Store,Silver,L2,Christopher Thompson,8955520876,08/05/2019,16:29:30,abc093de,Sales(80%),Created,B093,Manish Jain,B4,B,Goa,Brandon Martindale,9578566290,C35,P3C35,EMPBL154,mi,208639,19,4,3805575.36,
94,177,ZealDeal,Platinum,L2,Robin Oddo,8896505429,06/29/2019,13:21:51,abc094de,Sales(80%),Created,B094,Konkan Railways,B4,B,Varanasi,Joshua Felderman,9518781249,C35,P4C35,ELRWT222,Lenovo,226747,23,7,4850118.33,
95,178,Store_Electronica,Gold,L2,Robert Smith,9400739387,07/20/2019,9:37:12,abc095de,Sales(55%),Created,B095,Central Railways,B4,B,Mangalore,Rusty Gifford,9514601978,C35,P5C35,EPBWT541,Philips,101104,12,1,1201115.52,
96,179,SnapitToday,Silver,L2,Lisa Fuller,9073307258,10/19/2019,12:13:56,abc096de,Sales(80%),Created,B096,Dales Housing Ltd.,B4,B,Kohlapur,Fred Lowe,9546278026,C36,P1C36,WSSBL002,Sony,27553,21,3,561254.61,
97,180,InkTree,Gold,L2,Samuel Reaves,9089401991,12/27/2019,14:32:10,abc097de,Sales(59%),Created,B097,Sapan Singh,B4,B,Ranchi,Sheldon Gerard,9538209181,C36,P2C36,WMFBK258,Mi,293647,18,9,4809937.86,
98,181,GadgetsAccessories,Gold,L2,Charles Bialaszewski,9389636413,12/03/2019,14:02:37,abc098de,Sales(69%),Created,B098,Amit Singh,B4,B,Lucknow,Patricia Terp,9505216959,C36,P3C36,WTAGD165,Timex,256715,6,2,1509484.2,
99,182,Elites Accessories,Platinum,L2,David Crum,9150610568,07/28/2019,17:07:44,abc099de,Sales(80%),Created,B099,Hilton Group,B4,B,Shimla,Steve Alves,9540891706,C36,P4C36,WRASR699,Rolex,231596,11,13,2216373.72,
100,183,AmzerEstore,Platinum,L2,Leah Early,9154150555,06/21/2019,18:02:40,abc100de,Sales(85%),Created,B100,SOHA HOUSING LIMITED,B4,B,Goa,Jose Wallace,9559452746,C36,P5C36,WLABK544,Lamborghini,274132,21,5,5468933.4,
101,184,E-Mobiles,Platinum,L2,Mildred Turner,9410149774,06/28/2019,15:08:08,abc101de,Sales(85%),Created,B101,Anand Handloom,B2,A,Varanasi,Cecilia Wilson,9529940788,C37,P1C37,CNTGR257,Nike,72521,8,6,545357.92,
102,185,Staples India,Platinum,L2,Ruth Hill,9291889724,05/07/2019,9:49:42,abc102de,Sales(85%),Created,B076,Naveen Naik,B4,D,Bangalore,Ashely Reed,9505929222,C37,P2C37,CAJYL555,Allen Solly,87128,19,12,1456780.16,
103,186,Go For Computers,Platinum,L2,Charles Williams,9204005935,02/14/2019,11:47:08,abc103de,Sales(85%),Created,B077,Yash Sharma,B4,D,Mumbai,Michael Shepherd,9584960324,C37,P3C37,CTSPK634,Tommy Hilfiger,132918,8,4,1020810.24,
